content,labels
"தென்காசி தொகுதி புதிய தமிழகம் கட்சி வேட்பாளர் டாக்டர். கிருஷ்ணசாமியை  ஆதரித்து தேமுதிக பொதுச் செயலாளர் பிரேமலதா விஜயகாந்த்  ஸ்ரீவில்லிபுத்தூரில் பிரச்சாரம்.
news18tamilnadu loksabaelection2024 ",Neutral
"அண்ணன் இதனை சூசகமாக 11 மாதங்கள் முன்பே பேட்டியில் சொல்லிட்டார்!

          ",Substantiated
"ஒரு வருடம் ஆகி விட்டது இந்த துயரம் நேர்ந்து. இன்றுவரை ஒரு ஆணியை கூட பிடுங்காத தமிழக அரசு

dmkfailstn



",Opinionated
"எடப்பாடியை கண்டுகொள்ளாத ""எடப்பாடி""
 ---
ஆதரிப்பீர்  உதயசூரியன் 
---

மக்களின்குரல் ஓமலூர் சேலம் சேலம்4செல்வகணபதி vote4dmk vote4india   stalin testimonials qa சேலம்தெற்கு சேலம்வடக்கு எடப்பாடி சேலம்மேற்கு eps edappadi palanisamy ",Positive
"எங்களின் அரசியல் அடுத்த தலைமுறைக்குமானது 
மக்களின்_சின்னம்_மைக் ",Opinionated
"திமுக - நாதகவினர் திடீர் மோதல். பார்த்து சீமான் கொடுத்த ரியாக்சன். நொடியில் பதற்றமான களம்
electioncampaign seeman ntk ntkvsdmk fighting nagapattinam thanthitv

",Substantiated
"இதே போன்று, அடுத்து மாணவர்களுக்கும், தமிழ்ப்புதல்வன் என்ற பெயரில், மாதம் ஆயிரம் ரூபாய் தரப்போகிறோம்.

- கழகத் தலைவர், மாண்புமிகு முதலமைச்சர்

 dmk mkstalin udhayanithistalin thamoanbarasan mlavaralakshmi vote4dmk vote4selvam vote4india",Substantiated
"கொடநாடு கொலை-கொள்ளை வழக்கு; எடப்பாடி உயர்நீதிமன்றத்தில் மனு

more details: 

kodanadu edappadi dhanapal கொடநாடு ",Positive
"வடசென்னை தொகுதி
வளரப்போவது உறுதி

தேர்தல் பரப்புரை 7/04/24

வெற்றி நமதே 

vote4paulkanagaraj bjp4northchennai paulkanagaraj4northchennai election2024 tnbjp loksabhaelections2024 rcpaulkanagaraj northchennai bjptn dmkfailstn admkfails pmk mediacpnawin bjptnmediacell ",Positive
" காங்கிரசின் காமராஜரை கொச்சை படுத்தி ஆட்சியை கைப்பற்றியது திமுக , இன்று காங்கிரஸும், திமுகவும் ஒன்று சேர்ந்து கொள்ளையடிக்க கூட்டணி வைத்துள்ளனர்

திமுக_நாட்டுக்கும்_வீட்டுக்கும்_கேடு   dmkfailstn dmkfails bjp4india",Opinionated
